energy, prob
3.6, 0.0560
26.111, 0.162
26.359, 0.299
29.679, 0.0273
29.726, 0.0526
30.393, 0.0148
722.69, 14.222
1128.60, 15
130.9, 5.1
433.76, 62
657.78, 78
759.8, 85
788.7, 3.4
 
